Date,btc_close,Actual_Target,Predicted_Target,Probability_Up,Trading_Signal,Signal_Label,BTC_Next_Week_Return,Strategy_Return,Buy_And_Hold_Return,Cash_Return,Position_Change,Transaction_Cost,Strategy_Equity,Buy_And_Hold_Equity,Cash_Equity
2024-06-28,60320.13671875,0,0,0.2533657475013656,0,Stay in Cash,-0.0606391483461776,-0.0,-0.0606391483461776,0.0,0.0,0.0,1.1115161764280845,1.355012307663279,1.0
2024-07-05,56662.375,1,0,0.362801926499616,0,Stay in Cash,0.0218326507448725,0.0,0.0218326507448725,0.0,0.0,0.0,1.1115161764280845,1.384595818131495,1.0
2024-07-12,57899.46484375,1,0,0.3165952872925338,0,Stay in Cash,0.1521722425246401,0.0,0.1521722425246401,0.0,0.0,0.0,1.1115161764280845,1.5952928687668033,1.0
2024-07-19,66710.15625,1,0,0.4762873800746323,0,Stay in Cash,0.0180168405766549,0.0,0.0180168405766549,0.0,0.0,0.0,1.1115161764280845,1.6240350060564495,1.0
2024-07-26,67912.0625,0,1,0.57751822481696,1,Hold BTC,-0.0956677776315511,-0.0956677776315511,-0.0956677776315511,0.0,1.0,0.0,1.0051798940276906,1.4686671862311864,1.0
2024-08-02,61415.06640625,0,1,0.5686815598723562,1,Hold BTC,-0.0087104542305853,-0.0087104542305853,-0.0087104542305853,0.0,0.0,0.0,0.9964243205672578,1.4558744279255573,1.0
2024-08-09,60880.11328125,0,0,0.3460560691556398,0,Stay in Cash,-0.0326216182175149,-0.0,-0.0326216182175149,0.0,1.0,0.0,0.9964243205672578,1.408381448165127,1.0
2024-08-16,58894.10546875,1,0,0.4730824441990929,0,Stay in Cash,0.0882983103081398,0.0,0.0882983103081398,0.0,0.0,0.0,0.9964243205672578,1.5327391503074386,1.0
2024-08-23,64094.35546875,0,0,0.4358225690476869,0,Stay in Cash,-0.0776180502926745,-0.0,-0.0776180502926745,0.0,0.0,0.0,0.9964243205672578,1.4137709258533246,1.0
2024-08-30,59119.4765625,0,0,0.4979554767226652,0,Stay in Cash,-0.0874622536751252,-0.0,-0.0874622536751252,0.0,0.0,0.0,0.9964243205672578,1.2901193344978246,1.0
2024-09-06,53948.75390625,1,0,0.3917057122019738,0,Stay in Cash,0.1227562528415096,0.0,0.1227562528415096,0.0,0.0,0.0,0.9964243205672578,1.4484895497191597,1.0
2024-09-13,60571.30078125,1,1,0.6171449069243691,1,Hold BTC,0.0432824744959339,0.0432824744959339,0.0432824744959339,0.0,1.0,0.0,1.0395520308093384,1.511183761712506,1.0
2024-09-20,63192.9765625,1,1,0.5812160481436555,1,Hold BTC,0.0411072185756402,0.0411072185756402,0.0411072185756402,0.0,0.0,0.0,1.0822851233605686,1.5733043229131802,1.0
2024-09-27,65790.6640625,0,1,0.5124203284037786,1,Hold BTC,-0.0565914260488848,-0.0565914260488848,-0.0565914260488848,0.0,0.0,0.0,1.0210370648381009,1.4842687876706482,1.0
2024-10-04,62067.4765625,1,0,0.4201514001048971,0,Stay in Cash,0.0060839154765661,0.0,0.0060839154765661,0.0,1.0,0.0,1.0210370648381009,1.4932989535193417,1.0
2024-10-11,62445.08984375,1,0,0.3533358095939929,0,Stay in Cash,0.0956632336296958,0.0,0.0956632336296958,0.0,0.0,0.0,1.0210370648381009,1.6361527601888428,1.0
2024-10-18,68418.7890625,0,1,0.6399466090822319,1,Hold BTC,-0.025963262787029,-0.025963262787029,-0.025963262787029,0.0,1.0,0.0,0.9945276112084125,1.5936728961163371,1.0
2024-10-25,66642.4140625,1,0,0.4343769730141461,0,Stay in Cash,0.0426163236649332,0.0,0.0426163236649332,0.0,1.0,0.0,0.9945276112084125,1.6615893760732625,1.0
2024-11-01,69482.46875,1,0,0.4283226351335195,0,Stay in Cash,0.1016516531373246,0.0,0.1016516531373246,0.0,0.0,0.0,0.9945276112084125,1.8304926829865253,1.0
2024-11-08,76545.4765625,1,1,0.52628239703525,1,Hold BTC,0.1896980971585415,0.1896980971585415,0.1896980971585415,0.0,1.0,0.0,1.183187606626278,2.1777336618117027,1.0
2024-11-15,91066.0078125,1,0,0.4448483842791363,0,Stay in Cash,0.0870978803235873,0.0,0.0870978803235873,0.0,1.0,0.0,1.183187606626278,2.367409647664826,1.0
2024-11-22,98997.6640625,0,1,0.5196372646740174,1,Hold BTC,-0.0155169380969453,-0.0155169380969453,-0.0155169380969453,0.0,1.0,0.0,1.1648281577771853,2.3306746987119,1.0
2024-11-29,97461.5234375,1,0,0.4865990496896348,0,Stay in Cash,0.0252323933924245,0.0,0.0252323933924245,0.0,1.0,0.0,1.1648281577771853,2.389483199579569,1.0
2024-12-06,99920.7109375,1,0,0.4413230159228959,0,Stay in Cash,0.0153976774240762,0.0,0.0153976774240762,0.0,0.0,0.0,1.1648281577771853,2.426275691096945,1.0
2024-12-13,101459.2578125,0,0,0.3201951942814893,0,Stay in Cash,-0.0365006427687838,-0.0,-0.0365006427687838,0.0,0.0,0.0,1.1648281577771853,2.3377150688376314,1.0
2024-12-20,97755.9296875,0,0,0.2928876883474911,0,Stay in Cash,-0.0367350637856926,-0.0,-0.0367350637856926,0.0,0.0,0.0,1.1648281577771853,2.251838956671106,1.0
2024-12-27,94164.859375,0,0,0.3099817435769457,0,Stay in Cash,-0.0078124287009269,-0.0,-0.0078124287009269,0.0,0.0,0.0,1.1648281577771853,2.2342466253761435,1.0
