Date,Open,High,Low,Close,Adj Close,Volume,VWAP,Symbol,Ticker
2020-10-02,10695.5751953125,10945.34765625,10416.689453125,10575.974609375,10575.974609375,327798951362,10718.28595730284,BTC_USD,BTC-USD
2020-10-09,10575.1005859375,11102.671875,10511.1298828125,11064.4580078125,11064.4580078125,329986692320,10698.150904726343,BTC_USD,BTC-USD
2020-10-16,11059.142578125,11698.4677734375,11056.9404296875,11322.123046875,11322.123046875,167478139090,11403.72761690815,BTC_USD,BTC-USD
2020-10-23,11322.123046875,13184.56640625,11285.345703125,12931.5390625,12931.5390625,199309783261,12257.385215368839,BTC_USD,BTC-USD
2020-10-30,12931.57421875,13837.6953125,12822.3828125,13546.5224609375,13546.5224609375,235108878678,13283.194992690958,BTC_USD,BTC-USD
2020-11-06,13546.5322265625,15903.4375,13243.16015625,15565.880859375,15565.880859375,231212258076,14312.773415613306,BTC_USD,BTC-USD
2020-11-13,15565.880859375,16463.177734375,14423.203125,16317.80859375,16317.80859375,216928707894,15554.654734318334,BTC_USD,BTC-USD
2020-11-20,16317.80859375,18773.2265625,15749.193359375,18621.314453125,18621.314453125,244711923136,17273.54127648578,BTC_USD,BTC-USD
2020-11-27,18621.31640625,19390.96484375,16351.03515625,17108.40234375,17108.40234375,319135010003,18202.461166079407,BTC_USD,BTC-USD
2020-12-04,17112.93359375,19845.974609375,16910.65234375,18699.765625,18699.765625,264287540151,18755.810897588955,BTC_USD,BTC-USD
2020-12-11,18698.384765625,19411.828125,17619.533203125,18058.904296875,18058.904296875,199012023597,18640.243593684056,BTC_USD,BTC-USD
2020-12-18,18051.3203125,23642.66015625,18046.041015625,23137.9609375,23137.9609375,252594543789,20957.017996690494,BTC_USD,BTC-USD
2020-12-25,23132.865234375,24710.1015625,22159.3671875,24664.791015625,24664.791015625,300651439127,23501.323418827124,BTC_USD,BTC-USD
2021-01-01,24677.015625,29600.626953125,24522.689453125,29374.15234375,29374.15234375,347907941478,27498.16324939918,BTC_USD,BTC-USD
2021-01-08,29376.455078125,41946.73828125,28722.755859375,40797.609375,40797.609375,543400550415,34950.2222213274,BTC_USD,BTC-USD
2021-01-15,40788.640625,41436.3515625,30549.599609375,36825.3671875,36825.3671875,540799819728,36797.30774535075,BTC_USD,BTC-USD
2021-01-22,36821.6484375,37864.3671875,28953.373046875,33005.76171875,33005.76171875,436506853486,34625.20599716349,BTC_USD,BTC-USD
2021-01-29,32985.7578125,38406.26171875,29367.138671875,34316.38671875,34316.38671875,474139537114,32837.684959111466,BTC_USD,BTC-USD
2021-02-05,34295.93359375,38592.17578125,32270.17578125,38144.30859375,38144.30859375,430988316515,35400.91866662317,BTC_USD,BTC-USD
2021-02-12,38138.38671875,48745.734375,37446.15234375,47504.8515625,47504.8515625,575348787271,44217.72101306354,BTC_USD,BTC-USD
2021-02-19,47491.203125,56113.65234375,46347.4765625,55888.1328125,55888.1328125,491989383336,49789.446903225056,BTC_USD,BTC-USD
2021-02-26,55887.3359375,58330.5703125,44454.84375,46339.76171875,46339.76171875,787367987189,49593.846707521945,BTC_USD,BTC-USD
2021-03-05,46344.7734375,52535.13671875,43241.6171875,48927.3046875,48927.3046875,354967589203,48073.58767632457,BTC_USD,BTC-USD
2021-03-12,48899.23046875,58091.0625,47257.52734375,57332.08984375,57332.08984375,346768545383,53799.6284578494,BTC_USD,BTC-USD
2021-03-19,57343.37109375,61683.86328125,53555.02734375,58346.65234375,58346.65234375,395808451844,57883.22042065769,BTC_USD,BTC-USD
2021-03-26,58332.26171875,60031.28515625,50856.5703125,55137.3125,55137.3125,410480859255,55064.03253335079,BTC_USD,BTC-USD
2021-04-02,55137.56640625,60267.1875,54242.91015625,59384.3125,59384.3125,392910677247,57927.46790296215,BTC_USD,BTC-USD
2021-04-09,59397.41015625,60110.26953125,55604.0234375,58245.00390625,58245.00390625,412509675328,58051.882113054104,BTC_USD,BTC-USD
2021-04-16,58253.77734375,64863.09765625,58038.70703125,61572.7890625,61572.7890625,449030034720,61677.17511785575,BTC_USD,BTC-USD
2021-04-23,61529.921875,62572.17578125,47714.6640625,51093.65234375,51093.65234375,513195731634,55154.280596715,BTC_USD,BTC-USD
2021-04-30,51143.2265625,57900.71875,47159.484375,57750.17578125,57750.17578125,349349306323,53013.345890137825,BTC_USD,BTC-USD
2021-05-07,57714.6640625,58973.30859375,52969.0546875,57356.40234375,57356.40234375,408490303922,56554.454763643895,BTC_USD,BTC-USD
2021-05-14,57352.765625,59519.35546875,46980.01953125,49880.53515625,49880.53515625,492048667890,54083.17180480887,BTC_USD,BTC-USD
2021-05-21,49855.49609375,50639.6640625,30681.49609375,37304.69140625,37304.69140625,550991581530,41474.804836829826,BTC_USD,BTC-USD
2021-05-28,37371.03125,40782.078125,31227.33984375,35697.60546875,35697.60546875,409175943335,37288.39319702298,BTC_USD,BTC-USD
2021-06-04,35684.15625,39478.953125,33520.73828125,36894.40625,36894.40625,260889072996,36642.658983198104,BTC_USD,BTC-USD
2021-06-11,36880.15625,38334.32421875,31114.443359375,37334.3984375,37334.3984375,284707589936,35530.8262170098,BTC_USD,BTC-USD
2021-06-18,37340.14453125,41295.26953125,34728.19140625,35787.24609375,35787.24609375,280671597668,38370.26896125578,BTC_USD,BTC-USD
2021-06-25,35854.52734375,36457.796875,28893.62109375,31637.779296875,31637.779296875,299316086692,33391.928465861216,BTC_USD,BTC-USD
2021-07-02,31594.6640625,36542.109375,30184.501953125,33897.046875,33897.046875,256517978331,33965.51567504848,BTC_USD,BTC-USD
2021-07-09,33854.421875,35937.56640625,32133.18359375,33798.01171875,33798.01171875,184673526157,34033.11109011505,BTC_USD,BTC-USD
2021-07-16,33811.2421875,34592.15625,31100.673828125,31421.5390625,31421.5390625,152899491409,32855.70296882856,BTC_USD,BTC-USD
2021-07-23,31397.30859375,33581.55078125,29360.955078125,33581.55078125,33581.55078125,151576363668,31589.157921572492,BTC_USD,BTC-USD
2021-07-30,33593.73046875,42235.546875,33424.859375,42235.546875,42235.546875,227583222606,38325.8373840994,BTC_USD,BTC-USD
2021-08-06,42196.3046875,43271.66015625,37458.00390625,42816.5,42816.5,203060456131,40292.264093358026,BTC_USD,BTC-USD
2021-08-13,42832.796875,47831.9765625,42618.56640625,47793.3203125,47793.3203125,248401214895,45137.932052479184,BTC_USD,BTC-USD
2021-08-20,47810.6875,49342.15234375,43998.31640625,49339.17578125,49339.17578125,232533854924,46454.83942211759,BTC_USD,BTC-USD
2021-08-27,49327.07421875,50482.078125,46394.28125,49058.66796875,49058.66796875,235446379737,48616.308700554844,BTC_USD,BTC-USD
2021-09-03,49072.5859375,50982.2734375,46562.4375,50025.375,50025.375,242888773147,48635.75261097238,BTC_USD,BTC-USD
2021-09-10,50009.32421875,52853.765625,43285.20703125,44883.91015625,44883.91015625,298723255320,48154.76177891488,BTC_USD,BTC-USD
2021-09-17,44869.83984375,48486.828125,43591.3203125,47267.51953125,47267.51953125,232980415470,46415.257954007015,BTC_USD,BTC-USD
2021-09-24,47273.52734375,48791.78125,39787.609375,42839.75,42839.75,263377408219,44039.72399735335,BTC_USD,BTC-USD
2021-10-01,42840.890625,48436.01171875,40829.66796875,48116.94140625,48116.94140625,228055592334,43198.00206902427,BTC_USD,BTC-USD
2021-10-08,48137.46875,55922.98046875,47045.00390625,53967.84765625,53967.84765625,247153004114,51473.33044744246,BTC_USD,BTC-USD
